ID,EES
1,314000000.0
2,269000000.0
3,220000000.0
4,204000000.0
5,219000000.0
6,277000000.0
7,278000000.0
8,226000000.0
9,289000000.0
10,237000000.0
11,331000000.0
12,271000000.0
13,304000000.0
14,231000000.0
15,288000000.0
16,297000000.0
17,387000000.0
18,361000000.0
19,210000000.0
20,290000000.0
21,329000000.0
22,233000000.0
23,344000000.0
24,253000000.0
25,278000000.0
26,239000000.0
27,231000000.0
28,277000000.0
29,281000000.0
30,327000000.0
31,201000000.0
32,292000000.0
33,184000000.0
34,211000000.0
35,236000000.0
36,357000000.0
37,296000000.0
38,363000000.0
39,271000000.0
40,159000000.0
41,297000000.0
42,230000000.0
43,279000000.0
44,336000000.0
45,156000000.0
46,279000000.0
47,186000000.0
48,209000000.0
49,193000000.0
50,236000000.0
51,242000000.0
52,268000000.0
53,161000000.0
54,416000000.0
55,264000000.0
56,300000000.0
57,291000000.0
58,292000000.0
59,204000000.0
60,241000000.0
61,309000000.0
62,331000000.0
63,255000000.0
64,211000000.0
65,266000000.0
66,302000000.0
67,262000000.0
68,237000000.0
69,248000000.0
70,277000000.0
71,322000000.0
72,352000000.0
73,293000000.0
74,277000000.0
75,209000000.0
76,302000000.0
77,334000000.0
78,201000000.0
79,242000000.0
80,303000000.0
81,358000000.0
82,312000000.0
83,262000000.0
84,298000000.0
85,300000000.0
86,300000000.0
87,303000000.0
88,360000000.0
89,289000000.0
90,319000000.0
91,376000000.0
92,346000000.0
93,248000000.0
94,250000000.0
95,280000000.0
96,264000000.0
97,291000000.0
98,265000000.0
99,304000000.0
100,267000000.0
101,259000000.0
102,194000000.0
103,385000000.0
104,277000000.0
105,267000000.0
106,259000000.0
107,336000000.0
108,256000000.0
109,351000000.0
110,286000000.0
111,305000000.0
112,285000000.0
113,279000000.0
114,198000000.0
115,271000000.0
116,307000000.0
117,225000000.0
118,284000000.0
119,188000000.0
120,337000000.0
121,237000000.0
122,248000000.0
123,235000000.0
124,342000000.0
125,327000000.0
126,272000000.0
127,245000000.0
128,234000000.0
129,197000000.0
130,311000000.0
131,280000000.0
132,336000000.0
133,314000000.0
134,318000000.0
135,289000000.0
136,237000000.0
137,254000000.0
138,287000000.0
139,238000000.0
140,286000000.0
141,306000000.0
142,302000000.0
143,301000000.0
144,349000000.0
145,226000000.0
146,309000000.0
147,279000000.0
148,286000000.0
149,284000000.0
150,302000000.0
151,312000000.0
152,343000000.0
153,291000000.0
154,258000000.0
155,203000000.0
156,374000000.0
157,312000000.0
158,313000000.0
159,259000000.0
160,332000000.0
161,285000000.0
162,322000000.0
163,206000000.0
164,385000000.0
165,299000000.0
166,245000000.0
167,201000000.0
168,294000000.0
169,287000000.0
170,307000000.0
171,241000000.0
172,287000000.0
173,281000000.0
174,313000000.0
175,290000000.0
176,289000000.0
177,216000000.0
178,311000000.0
179,308000000.0
180,217000000.0
181,396000000.0
182,263000000.0
183,338000000.0
184,265000000.0
185,304000000.0
186,337000000.0
187,341000000.0
188,293000000.0
189,285000000.0
190,269000000.0
191,265000000.0
192,197000000.0
193,273000000.0
194,305000000.0
195,204000000.0
196,336000000.0
197,310000000.0
198,268000000.0
199,371000000.0
200,234000000.0
201,244000000.0
202,254000000.0
203,398000000.0
204,233000000.0
205,271000000.0
206,300000000.0
207,285000000.0
208,335000000.0
209,289000000.0
210,239000000.0
211,301000000.0
212,209000000.0
213,364000000.0
214,241000000.0
215,304000000.0
216,231000000.0
217,243000000.0
218,191000000.0
219,218000000.0
220,220000000.0
221,238000000.0
222,219000000.0
223,275000000.0
224,335000000.0
225,269000000.0
226,225000000.0
227,426000000.0
228,278000000.0
229,276000000.0
230,342000000.0
231,246000000.0
232,271000000.0
233,298000000.0
234,191000000.0
235,199000000.0
236,188000000.0
237,311000000.0
238,271000000.0
239,212000000.0
240,262000000.0
241,353000000.0
242,269000000.0
243,232000000.0
244,374000000.0
245,261000000.0
246,252000000.0
247,297000000.0
248,295000000.0
249,260000000.0
250,218000000.0
251,314000000.0
252,240000000.0
253,247000000.0
254,262000000.0
255,239000000.0
256,302000000.0
257,314000000.0
258,404000000.0
259,337000000.0
260,265000000.0
261,372000000.0
262,245000000.0
263,245000000.0
264,380000000.0
265,274000000.0
266,366000000.0
267,315000000.0
268,370000000.0
269,220000000.0
270,243000000.0
271,342000000.0
272,216000000.0
273,221000000.0
274,222000000.0
275,243000000.0
276,332000000.0
277,280000000.0
278,237000000.0
279,311000000.0
280,296000000.0
281,305000000.0
282,293000000.0
283,222000000.0
284,321000000.0
285,311000000.0
286,338000000.0
287,286000000.0
288,179000000.0
289,225000000.0
290,315000000.0
291,335000000.0
292,217000000.0
293,406000000.0
294,222000000.0
295,302000000.0
296,290000000.0
297,293000000.0
298,358000000.0
299,228000000.0
300,300000000.0
301,319000000.0
302,256000000.0
303,256000000.0
304,265000000.0
305,279000000.0
306,239000000.0
307,282000000.0
308,319000000.0
309,273000000.0
310,289000000.0
311,280000000.0
312,207000000.0
313,238000000.0
314,317000000.0
315,212000000.0
316,226000000.0
317,242000000.0
318,298000000.0
319,226000000.0
320,197000000.0
321,317000000.0
322,310000000.0
323,190000000.0
324,337000000.0
325,254000000.0
326,235000000.0
327,437000000.0
328,353000000.0
329,289000000.0
330,281000000.0
331,292000000.0
332,221000000.0
333,257000000.0
334,281000000.0
335,269000000.0
336,203000000.0
337,155000000.0
338,272000000.0
339,269000000.0
340,200000000.0
341,306000000.0
342,266000000.0
343,270000000.0
344,264000000.0
345,229000000.0
346,248000000.0
347,314000000.0
348,223000000.0
349,374000000.0
350,248000000.0
351,347000000.0
352,203000000.0
353,313000000.0
354,279000000.0
355,321000000.0
356,293000000.0
357,317000000.0
358,245000000.0
359,307000000.0
360,317000000.0
361,218000000.0
362,330000000.0
363,256000000.0
364,334000000.0
365,203000000.0
366,337000000.0
367,144000000.0
368,308000000.0
369,207000000.0
370,276000000.0
371,361000000.0
372,158000000.0
373,246000000.0
374,306000000.0
375,269000000.0
